po_number,supplier_id,supplier_name,po_date,expected_delivery_date,actual_delivery_date,actual_lead_days,expected_lead_days,lead_time_variance,lateness_flag
PO101927,SUP1001,Raw Materials Supplier 2 (UK),2024-03-01,2024-05-16,2024-06-13,104,76,28,1
PO102462,SUP1001,Raw Materials Supplier 2 (UK),2024-03-02,2024-04-08,2024-05-04,63,37,26,1
PO102357,SUP1001,Raw Materials Supplier 2 (UK),2024-03-08,2024-03-21,2024-04-05,28,13,15,1
PO102107,SUP1001,Raw Materials Supplier 2 (UK),2024-03-16,2024-05-22,2024-05-22,67,67,0,0
PO102225,SUP1001,Raw Materials Supplier 2 (UK),2024-03-19,2024-06-04,2024-06-04,77,77,0,0
PO100105,SUP1001,Raw Materials Supplier 2 (UK),2024-04-03,2024-06-22,2024-06-22,80,80,0,0
PO100901,SUP1001,Raw Materials Supplier 2 (UK),2024-04-07,2024-05-11,2024-05-23,46,34,12,1
PO102498,SUP1001,Raw Materials Supplier 2 (UK),2024-04-07,2024-06-14,2024-06-14,68,68,0,0
PO101867,SUP1001,Raw Materials Supplier 2 (UK),2024-04-15,2024-04-22,2024-04-20,5,7,-2,0
PO102239,SUP1001,Raw Materials Supplier 2 (UK),2024-04-20,2024-06-09,2024-06-05,46,50,-4,0
PO102274,SUP1001,Raw Materials Supplier 2 (UK),2024-04-21,2024-06-19,2024-06-19,59,59,0,0
PO101929,SUP1001,Raw Materials Supplier 2 (UK),2024-05-02,2024-07-08,2024-07-06,65,67,-2,0
PO100771,SUP1001,Raw Materials Supplier 2 (UK),2024-05-06,2024-05-17,2024-05-17,11,11,0,0
PO101324,SUP1001,Raw Materials Supplier 2 (UK),2024-05-12,2024-06-15,2024-06-15,34,34,0,0
PO101996,SUP1001,Raw Materials Supplier 2 (UK),2024-05-14,2024-07-12,2024-08-01,79,59,20,1
PO100717,SUP1001,Raw Materials Supplier 2 (UK),2024-05-19,2024-08-03,2024-08-06,79,76,3,1
PO101047,SUP1001,Raw Materials Supplier 2 (UK),2024-05-30,2024-08-20,2024-08-20,82,82,0,0
PO102116,SUP1001,Raw Materials Supplier 2 (UK),2024-06-01,2024-07-05,2024-07-10,39,34,5,1
PO102256,SUP1001,Raw Materials Supplier 2 (UK),2024-06-07,2024-08-19,2024-08-26,80,73,7,1
PO101494,SUP1001,Raw Materials Supplier 2 (UK),2024-06-13,2024-07-13,2024-07-13,30,30,0,0
PO101661,SUP1001,Raw Materials Supplier 2 (UK),2024-06-15,2024-07-22,2024-08-13,59,37,22,1
PO100752,SUP1001,Raw Materials Supplier 2 (UK),2024-06-18,2024-07-25,2024-07-25,37,37,0,0
PO101508,SUP1001,Raw Materials Supplier 2 (UK),2024-06-18,2024-07-19,2024-07-24,36,31,5,1
PO101498,SUP1001,Raw Materials Supplier 2 (UK),2024-06-19,2024-09-03,2024-10-03,106,76,30,1
PO101583,SUP1001,Raw Materials Supplier 2 (UK),2024-06-20,2024-07-06,2024-07-24,34,16,18,1
PO100927,SUP1001,Raw Materials Supplier 2 (UK),2024-06-26,2024-08-15,2024-08-24,59,50,9,1
PO100597,SUP1001,Raw Materials Supplier 2 (UK),2024-06-28,2024-07-14,2024-07-20,22,16,6,1
PO101616,SUP1001,Raw Materials Supplier 2 (UK),2024-06-28,2024-08-04,2024-08-16,49,37,12,1
PO102174,SUP1001,Raw Materials Supplier 2 (UK),2024-06-29,2024-09-13,2024-09-13,76,76,0,0
PO101638,SUP1001,Raw Materials Supplier 2 (UK),2024-07-09,2024-09-06,2024-09-26,79,59,20,1
PO100172,SUP1001,Raw Materials Supplier 2 (UK),2024-07-14,2024-08-20,2024-09-14,62,37,25,1
PO101001,SUP1001,Raw Materials Supplier 2 (UK),2024-07-15,2024-08-21,2024-09-12,59,37,22,1
PO101977,SUP1001,Raw Materials Supplier 2 (UK),2024-08-02,2024-10-14,2024-10-22,81,73,8,1
PO100870,SUP1001,Raw Materials Supplier 2 (UK),2024-08-14,2024-10-03,2024-10-10,57,50,7,1
PO101566,SUP1001,Raw Materials Supplier 2 (UK),2024-08-14,2024-08-30,2024-09-17,34,16,18,1
PO102181,SUP1001,Raw Materials Supplier 2 (UK),2024-08-24,2024-11-08,2024-11-29,97,76,21,1
PO101053,SUP1001,Raw Materials Supplier 2 (UK),2024-08-25,2024-09-01,2024-09-30,36,7,29,1
PO100699,SUP1001,Raw Materials Supplier 2 (UK),2024-08-27,2024-10-16,2024-10-24,58,50,8,1
PO102103,SUP1001,Raw Materials Supplier 2 (UK),2024-08-27,2024-09-10,2024-09-16,20,14,6,1
PO101875,SUP1001,Raw Materials Supplier 2 (UK),2024-09-08,2024-11-20,2024-12-10,93,73,20,1
PO101268,SUP1001,Raw Materials Supplier 2 (UK),2024-09-24,2024-10-05,2024-10-05,11,11,0,0
PO101781,SUP1001,Raw Materials Supplier 2 (UK),2024-09-26,2024-12-03,2024-12-04,69,68,1,1
PO101706,SUP1001,Raw Materials Supplier 2 (UK),2024-09-29,2024-11-02,2024-11-19,51,34,17,1
PO101694,SUP1001,Raw Materials Supplier 2 (UK),2024-10-13,2024-10-27,2024-10-27,14,14,0,0
PO100628,SUP1001,Raw Materials Supplier 2 (UK),2024-10-17,2024-11-17,2024-12-12,56,31,25,1
PO102410,SUP1001,Raw Materials Supplier 2 (UK),2024-10-19,2024-11-22,2024-11-23,35,34,1,1
PO100474,SUP1001,Raw Materials Supplier 2 (UK),2024-10-20,2025-01-04,2025-01-30,102,76,26,1
PO102117,SUP1001,Raw Materials Supplier 2 (UK),2024-11-04,2024-11-11,2024-11-13,9,7,2,1
PO100298,SUP1001,Raw Materials Supplier 2 (UK),2024-11-06,2025-01-04,2025-01-30,85,59,26,1
PO101217,SUP1001,Raw Materials Supplier 2 (UK),2024-11-20,2025-01-27,2025-02-12,84,68,16,1
PO100737,SUP1001,Raw Materials Supplier 2 (UK),2024-11-26,2025-02-16,2025-03-03,97,82,15,1
PO102328,SUP1001,Raw Materials Supplier 2 (UK),2024-11-27,2025-01-01,2025-01-10,44,35,9,1
PO100131,SUP1001,Raw Materials Supplier 2 (UK),2024-11-30,2025-01-03,2025-01-22,53,34,19,1
PO102028,SUP1001,Raw Materials Supplier 2 (UK),2024-12-03,2025-02-21,2025-03-23,110,80,30,1
PO101879,SUP1001,Raw Materials Supplier 2 (UK),2024-12-08,2025-02-28,2025-03-11,93,82,11,1
PO102133,SUP1001,Raw Materials Supplier 2 (UK),2024-12-20,2025-02-25,2025-03-26,96,67,29,1
PO101358,SUP1001,Raw Materials Supplier 2 (UK),2024-12-28,2025-01-13,2025-01-12,15,16,-1,0
PO102441,SUP1001,Raw Materials Supplier 2 (UK),2024-12-29,2025-02-01,2025-01-27,29,34,-5,0
PO101071,SUP1001,Raw Materials Supplier 2 (UK),2025-01-01,2025-03-19,2025-03-31,89,77,12,1
