po_number,po_date,supplier_id,supplier_name,material_id,material_name,category,quantity,unit_price_ngn,total_amount_ngn,total_amount_usd,currency,expected_delivery_date,actual_delivery_date,delivery_status,payment_status,buyer,plant_location,rainy_season,rainfall_index,holiday_period,fuel_price_ngn,usd_ngn_rate,port_congestion_index,disruption_event,disruption_severity,supplier_name_supplier,financial_health_score,capacity_utilization_pct,employee_turnover_pct,quality_defect_rate,inventory_days,payment_default_risk,delivery_delay_days,is_late_delivery,composite_risk_score,risk_category,supplier_avg_delay,supplier_late_delivery_rate,order_size_vs_avg,days_since_last_order
PO101927,2024-03-01,SUP1001,Raw Materials Supplier 2 (UK),MAT2018,Raw Materials Item 19,Raw Materials,101,26907.59,2717667.04,2056.41,USD,2024-05-16,2024-06-13,Delivered,Pending,Chidi Eze,Ibadan,0,0.29,0,215.34,883.89,39.0,None,0,Raw Materials Supplier 2 (UK),85.0,78.2,12.8,6.76,48.0,16.6,28.0,1,34.8,Medium Risk,0.0,0.5,0.029186438128255103,30.0
PO102462,2024-03-02,SUP1001,Raw Materials Supplier 2 (UK),MAT2006,Raw Materials Item 7,Raw Materials,587,33174.1,19473197.11,23735.45,USD,2024-04-08,2024-05-04,Delivered,Paid,John Obi,Kano,0,0.17,0,183.7,824.96,29.0,None,0,Raw Materials Supplier 2 (UK),85.0,78.2,12.8,6.76,48.0,16.6,26.0,1,33.3,Medium Risk,28.0,1.0,0.20913277978686123,1.0
PO102357,2024-03-08,SUP1001,Raw Materials Supplier 2 (UK),MAT2012,Raw Materials Item 13,Raw Materials,619,425749.19,263538747.74,219489.81,USD,2024-03-21,2024-04-05,Delivered,Pending,John Obi,Lagos,0,0.4,0,214.76,939.29,39.0,Strike,9,Raw Materials Supplier 2 (UK),85.0,78.2,12.8,6.76,48.0,16.6,15.0,1,48.3,Medium Risk,27.0,1.0,2.830279516254257,6.0
PO102107,2024-03-16,SUP1001,Raw Materials Supplier 2 (UK),MAT2009,Raw Materials Item 10,Raw Materials,234,146261.48,34225187.29,30080.18,USD,2024-05-22,2024-05-22,Delivered,Paid,Chidi Eze,Lagos,0,0.14,0,224.03,945.34,27.0,None,0,Raw Materials Supplier 2 (UK),85.0,78.2,12.8,6.76,48.0,16.6,0.0,0,33.0,Medium Risk,23.0,1.0,0.36756206575899303,8.0
PO102225,2024-03-19,SUP1001,Raw Materials Supplier 2 (UK),MAT2017,Raw Materials Item 18,Raw Materials,403,435258.5,175409175.52,125912.29,USD,2024-06-04,2024-06-04,Delivered,Overdue,John Obi,Ibadan,0,0.24,0,199.26,802.02,24.0,None,0,Raw Materials Supplier 2 (UK),85.0,78.2,12.8,6.76,48.0,16.6,0.0,0,32.5,Medium Risk,17.25,0.75,1.8838102582436735,3.0
PO100105,2024-04-03,SUP1001,Raw Materials Supplier 2 (UK),MAT2008,Raw Materials Item 9,Raw Materials,387,427910.42,165601330.79,192250.12,USD,2024-06-22,2024-06-22,Delivered,Overdue,Sarah Ahmed,Kano,1,0.33,0,217.57,951.67,42.0,None,0,Raw Materials Supplier 2 (UK),73.0,66.1,10.5,3.24,24.0,15.3,0.0,0,32.5,Medium Risk,13.8,0.6,1.7784787186656394,15.0
PO100901,2024-04-07,SUP1001,Raw Materials Supplier 2 (UK),MAT2007,Raw Materials Item 8,Raw Materials,226,354376.86,80089170.68,99389.7,USD,2024-05-11,2024-05-23,Delivered,Overdue,Sarah Ahmed,Kano,1,0.69,0,215.06,969.86,68.0,Customs Delay,10,Raw Materials Supplier 2 (UK),73.0,66.1,10.5,3.24,24.0,15.3,12.0,1,51.4,Medium Risk,8.2,0.5,0.8601192090091665,4.0
PO102498,2024-04-07,SUP1001,Raw Materials Supplier 2 (UK),MAT2020,Raw Materials Item 21,Raw Materials,473,174596.5,82584143.35,82905.79,USD,2024-06-14,2024-06-14,Delivered,Pending,Sarah Ahmed,Lagos,1,0.69,0,215.06,969.86,68.0,Customs Delay,10,Raw Materials Supplier 2 (UK),73.0,66.1,10.5,3.24,24.0,15.3,0.0,0,51.4,Medium Risk,5.4,0.5714285714285714,0.8869140166117351,0.0
PO101867,2024-04-15,SUP1001,Raw Materials Supplier 2 (UK),MAT2003,Raw Materials Item 4,Raw Materials,137,322537.28,44187607.12,32068.68,USD,2024-04-22,2024-04-20,Delivered,Overdue,Sarah Ahmed,Lagos,1,0.38,0,249.0,847.44,53.0,None,0,Raw Materials Supplier 2 (UK),73.0,66.1,10.5,3.24,24.0,15.3,-2.0,0,34.1,Medium Risk,2.4,0.5,0.47455366763528345,8.0
PO102239,2024-04-20,SUP1001,Raw Materials Supplier 2 (UK),MAT2013,Raw Materials Item 14,Raw Materials,140,33072.63,4630168.33,3801.77,USD,2024-06-09,2024-06-05,Delivered,Paid,John Obi,Lagos,1,0.82,0,249.67,965.57,66.0,Political Unrest,7,Raw Materials Supplier 2 (UK),73.0,66.1,10.5,3.24,24.0,15.3,-4.0,0,46.6,Medium Risk,2.0,0.4444444444444444,0.04972578299619487,5.0
PO102274,2024-04-21,SUP1001,Raw Materials Supplier 2 (UK),MAT2011,Raw Materials Item 12,Raw Materials,868,179712.9,155990800.88,150200.07,USD,2024-06-19,2024-06-19,Delivered,Overdue,John Obi,Lagos,1,0.78,0,242.8,966.79,48.0,None,0,Raw Materials Supplier 2 (UK),73.0,66.1,10.5,3.24,24.0,15.3,0.0,0,33.4,Medium Risk,1.2,0.4,1.6752662454415612,1.0
PO101929,2024-05-02,SUP1001,Raw Materials Supplier 2 (UK),MAT2009,Raw Materials Item 10,Raw Materials,815,120728.17,98393461.17,78716.87,USD,2024-07-08,2024-07-06,Delivered,Pending,John Obi,Kano,1,0.71,0,247.16,945.83,49.0,None,0,Raw Materials Supplier 2 (UK),67.0,94.0,4.9,3.54,59.0,14.7,-2.0,0,30.8,Medium Risk,1.2,0.3,1.0566984933750663,11.0
PO101929,2024-05-02,SUP1001,Raw Materials Supplier 2 (UK),MAT2009,Raw Materials Item 10,Raw Materials,815,120728.17,98393461.17,78716.87,USD,2024-07-08,2024-07-06,Delivered,Pending,John Obi,Kano,1,0.71,0,247.16,945.83,49.0,None,0,Raw Materials Supplier 2 (UK),70.0,91.1,2.1,7.12,71.0,8.3,-2.0,0,32.1,Medium Risk,-1.6,0.2,1.0566984933750663,0.0
