po_number,po_date,supplier_id,supplier_name,material_id,material_name,category,quantity,unit_price_ngn,total_amount_ngn,total_amount_usd,currency,expected_delivery_date,actual_delivery_date,delivery_status,payment_status,buyer,plant_location,rainy_season,rainfall_index,holiday_period,fuel_price_ngn,usd_ngn_rate,port_congestion_index,disruption_event,disruption_severity,supplier_name_supplier,financial_health_score,capacity_utilization_pct,employee_turnover_pct,quality_defect_rate,inventory_days,payment_default_risk,delivery_delay_days,is_late_delivery,composite_risk_score,risk_category
PO100000,2024-12-06,SUP1025,Equipment Supplier 7 (GER),MAT2039,Equipment Item 1,Equipment,666,327476.7,218099481.96,162322.96,USD,2025-02-23,2025-03-11,Delivered,Paid,Sarah Ahmed,Lagos,0,0.11,1,283.05,1144.2,63.0,None,0,Equipment Supplier 7 (GER),75,75.6,3.6,7.81,19,12.5,16.0,1,34.8,Medium Risk
PO100001,2025-10-11,SUP1024,Equipment Supplier 6 (IND),MAT2052,Equipment Item 14,Equipment,49,20119.69,985864.68,859.03,USD,2025-11-29,2025-12-14,Delivered,Paid,Sarah Ahmed,Kano,1,0.52,0,294.34,1442.57,41.0,None,0,Equipment Supplier 6 (IND),41,92.2,6.7,1.17,53,21.2,15.0,1,38.2,Medium Risk
PO100002,2024-09-06,SUP1021,Equipment Supplier 3 (NIG),MAT2045,Equipment Item 7,Equipment,55,378704.42,20828743.33,,NGN,2024-11-22,2024-11-22,Delivered,Paid,Sarah Ahmed,Ibadan,1,0.37,0,266.96,996.96,51.0,None,0,Equipment Supplier 3 (NIG),26,90.1,4.7,5.36,45,18.7,0.0,0,50.0,Medium Risk
PO100003,2024-05-06,SUP1021,Equipment Supplier 3 (NIG),MAT2042,Equipment Item 4,Equipment,648,428952.08,277960950.33,,NGN,2024-06-29,2024-07-13,Delivered,Overdue,Sarah Ahmed,Ibadan,1,0.5,0,242.51,974.58,60.0,None,0,Equipment Supplier 3 (NIG),23,75.2,2.2,3.46,16,13.4,14.0,1,47.2,Medium Risk
PO100004,2026-02-07,SUP1026,Equipment Supplier 8 (NIG),MAT2044,Equipment Item 6,Equipment,577,275709.79,159084550.47,,NGN,2026-05-08,,Pending,Pending,Chidi Eze,Kano,0,0.29,0,342.76,1629.49,35.0,None,0,Equipment Supplier 8 (NIG),72,67.0,4.6,2.97,53,24.9,,0,25.5,Low Risk
PO100005,2024-08-21,SUP1025,Equipment Supplier 7 (GER),MAT2039,Equipment Item 1,Equipment,425,332266.46,141213246.93,176444.93,USD,2024-11-08,2024-11-08,Delivered,Pending,Sarah Ahmed,Ibadan,1,0.54,0,262.76,1065.18,43.0,None,0,Equipment Supplier 7 (GER),84,68.7,4.1,2.83,27,5.6,0.0,0,21.2,Low Risk
PO100006,2025-05-22,SUP1015,Packaging Supplier 8 (NIG),MAT2037,Packaging Item 17,Packaging,533,349205.86,186126722.03,,NGN,2025-07-06,2025-07-11,Delivered,Pending,Chidi Eze,Kano,1,0.6,0,269.79,1246.07,43.0,None,0,Packaging Supplier 8 (NIG),78,76.2,2.3,0.52,48,16.0,5.0,1,18.3,Low Risk
PO100007,2025-12-04,SUP1021,Equipment Supplier 3 (NIG),MAT2047,Equipment Item 9,Equipment,105,156120.04,16392604.2,,NGN,2025-12-24,2026-01-07,Delivered,Paid,John Obi,Lagos,0,0.16,1,328.98,1635.05,43.0,None,0,Equipment Supplier 3 (NIG),28,72.5,4.1,6.71,79,10.6,14.0,1,49.4,Medium Risk
PO100008,2024-04-12,SUP1012,Packaging Supplier 5 (USA),MAT2029,Packaging Item 9,Packaging,496,31643.75,15695299.91,11093.72,USD,2024-06-23,2024-06-30,Delivered,Overdue,Sarah Ahmed,Ibadan,1,0.75,0,196.99,864.86,46.0,None,0,Packaging Supplier 5 (USA),77,69.1,2.5,1.03,47,20.5,7.0,1,20.1,Low Risk
PO100009,2024-10-31,SUP1013,Packaging Supplier 6 (NIG),MAT2026,Packaging Item 6,Packaging,681,544940.34,371104370.56,,NGN,2025-01-20,2025-01-21,Delivered,Paid,John Obi,Kano,1,0.7,0,250.93,1031.46,49.0,None,0,Packaging Supplier 6 (NIG),54,88.2,11.9,0.82,21,28.5,1.0,1,38.9,Medium Risk
PO100010,2025-08-08,SUP1037,Services Supplier 10 (NIG),MAT2067,Services Item 14,Services,61,107496.48,6557285.2,,NGN,2025-10-12,2025-10-14,Delivered,Overdue,Chidi Eze,Kano,1,0.58,0,276.26,1556.15,50.0,None,0,Services Supplier 10 (NIG),63,86.7,7.7,7.43,30,29.4,2.0,1,41.1,Medium Risk
PO100011,2025-09-19,SUP1026,Equipment Supplier 8 (NIG),MAT2047,Equipment Item 9,Equipment,982,152769.3,150019454.32,,NGN,2025-10-09,2025-11-05,Delivered,Overdue,John Obi,Kano,1,0.89,0,321.19,1490.6,59.0,None,0,Equipment Supplier 8 (NIG),79,62.9,7.8,3.14,89,10.8,27.0,1,29.8,Low Risk
PO100012,2025-06-25,SUP1032,Services Supplier 5 (NIG),MAT2068,Services Item 15,Services,275,175992.96,48398065.3,,NGN,2025-07-31,2025-08-12,Delivered,Overdue,Chidi Eze,Lagos,1,0.61,0,269.42,1526.55,51.0,None,0,Services Supplier 5 (NIG),67,82.7,4.1,3.92,47,23.5,12.0,1,30.8,Medium Risk
PO100013,2024-12-02,SUP1037,Services Supplier 10 (NIG),MAT2062,Services Item 9,Services,89,490921.28,43691994.04,,NGN,2024-12-31,2024-12-31,Delivered,Paid,John Obi,Lagos,0,0.22,1,289.92,1171.79,49.0,None,0,Services Supplier 10 (NIG),80,83.9,3.8,5.89,79,20.3,0.0,0,28.0,Low Risk
